"Repetition","Is Optimal","Objective Function Value","Number of Iterations","DepthGDD1 Initial","DepthGDD1 Final","DepthGDD2 Initial","DepthGDD2 Final","DepthGDD3 Initial","DepthGDD3 Final","Message"
"1","FALSE","0.478712758429559","15","73.1331102699041","74.8923695291633","140.841331830015","145.802277088757","366.835060677258","393.571171788369","NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached."
"2","TRUE","0.410213480556349","15","76.3418569415808","76.3418569415808","122.149167428724","122.149167428724","395.342831837479","398.83570795937","NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached."
"3","FALSE","0.455764357794451","15","84.1083242874593","78.5527687319035","101.835892740637","118.460921447517","386.591670344351","400","NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached."
"4","FALSE","0.729092035875642","15","98.3414211776108","96.0378394798479","132.161564423004","125.21711997856","360.076813874766","379.670618631256","NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached."
"5","FALSE","0.608778680087242","15","62.8590787798166","63.8121050397555","117.368483872851","135.88700239137","355.306289247237","358.254227717924","NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached."
"6","FALSE","0.677668024123738","15","82.1503725228831","65.4837058562164","128.98265385651","130.371542745399","351.629948616028","352.988239129384","NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached."
"7","FALSE","0.450586105898882","15","94.9847792815417","75.2025197809562","112.065891874954","142.900948888726","372.51005126629","400","NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached."
"8","FALSE","0.445316539229434","15","91.7276345845312","72.4254486151039","136.3244628557","132.157796189034","378.230318363057","400","NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached."
"9","FALSE","0.449889912869811","15","69.117212687619","75.9551222033333","146.893166532973","143.009624699189","392.396750058979","400","NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached."
"10","FALSE","0.492894110304742","15","66.7188572725281","82.9560956811377","105.298739816062","116.337781099525","381.90250874497","400","NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached."
